\,AIC
preserved ~ RndCumErr,3088.60923
preserved ~ RndCumErr,3099.887614
preserved ~ RndCumErr,3104.199452
preserved ~ RndCumErr,3106.23893
preserved ~ RndCumErr,3120.544923
preserved ~ RndCumErr,3124.38833
preserved ~ RndCumErr,3124.654259
preserved ~ RndCumErr,3131.714687
preserved ~ RndCumErr,3136.015908
preserved ~ RndCumErr,3141.324978
preserved ~ RndCumErr,3143.236659
preserved ~ RndCumErr,3143.400179
preserved ~ RndCumErr,3143.491709
preserved ~ RndCumErr,3144.760607
preserved ~ RndCumErr,3145.178273
preserved ~ RndCumErr,3145.59923
preserved ~ RndCumErr,3150.024793
preserved ~ RndCumErr,3150.283807
preserved ~ RndCumErr,3151.666909
preserved ~ RndCumErr,3151.984165
preserved ~ RndCumErr,3152.145181
preserved ~ RndCumErr,3152.456251
preserved ~ RndCumErr,3155.709819
preserved ~ RndCumErr,3155.828058
preserved ~ RndCumErr,3156.253385
preserved ~ RndCumErr,3157.311474
preserved ~ RndCumErr,3159.351326
preserved ~ RndCumErr,3159.567896
preserved ~ RndCumErr,3160.183592
preserved ~ RndCumErr,3161.853109
preserved ~ RndCumErr,3164.058202
preserved ~ RndCumErr,3164.28843
preserved ~ RndCumErr,3164.838561
preserved ~ RndCumErr,3165.185369
preserved ~ RndCumErr,3165.325187
preserved ~ RndCumErr,3167.192465
preserved ~ RndCumErr,3168.511477
preserved ~ RndCumErr,3170.601252
preserved ~ RndCumErr,3170.608044
preserved ~ RndCumErr,3170.643022
preserved ~ RndCumErr,3172.558398
preserved ~ RndCumErr,3173.198084
preserved ~ RndCumErr,3173.867379
preserved ~ RndCumErr,3173.915601
preserved ~ RndCumErr,3174.852655
preserved ~ RndCumErr,3174.915718
preserved ~ RndCumErr,3176.408671
preserved ~ RndCumErr,3177.589744
preserved ~ RndCumErr,3177.714314
preserved ~ RndCumErr,3178.217317
preserved ~ RndCumErr,3179.714244
preserved ~ RndCumErr,3180.206309
preserved ~ RndCumErr,3182.330488
preserved ~ RndCumErr,3182.586194
preserved ~ RndCumErr,3182.675654
preserved ~ RndCumErr,3184.084745
preserved ~ RndCumErr,3186.180932
preserved ~ RndCumErr,3186.681697
preserved ~ RndCumErr,3186.754011
preserved ~ RndCumErr,3187.171634
preserved ~ RndCumErr,3187.778473
preserved ~ RndCumErr,3188.38134
preserved ~ RndCumErr,3188.591436
preserved ~ RndCumErr,3189.773592
preserved ~ RndCumErr,3190.735867
preserved ~ RndCumErr,3191.152844
preserved ~ RndCumErr,3193.092799
preserved ~ RndCumErr,3194.545098
preserved ~ RndCumErr,3194.772261
preserved ~ RndCumErr,3195.218015
preserved ~ RndCumErr,3195.246427
preserved ~ RndCumErr,3195.58168
preserved ~ RndCumErr,3196.888797
preserved ~ RndCumErr,3197.096944
preserved ~ RndCumErr,3197.371147
preserved ~ RndCumErr,3197.412628
preserved ~ RndCumErr,3199.353066
preserved ~ RndCumErr,3200.095291
preserved ~ RndCumErr,3201.66791
preserved ~ RndCumErr,3202.124022
preserved ~ RndCumErr,3202.662477
preserved ~ RndCumErr,3203.614168
preserved ~ RndCumErr,3208.240832
preserved ~ RndCumErr,3208.446405
preserved ~ RndCumErr,3211.298416
preserved ~ RndCumErr,3212.95484
preserved ~ RndCumErr,3215.267023
preserved ~ RndCumErr,3217.230603
preserved ~ RndCumErr,3218.174361
preserved ~ RndCumErr,3218.234829
preserved ~ RndCumErr,3220.730193
preserved ~ RndCumErr,3222.611456
preserved ~ RndCumErr,3222.750541
preserved ~ RndCumErr,3224.411109
preserved ~ RndCumErr,3225.049473
preserved ~ RndCumErr,3225.170495
preserved ~ RndCumErr,3225.60175
preserved ~ RndCumErr,3225.727888
preserved ~ RndCumErr,3232.584007
preserved ~ RndCumErr,3233.203105
***preserved ~ CumErr,3337.989008
Random average,3177.515841
Random SD,31.06604906